Region;Nazwa;UE_do_2004;UE_od_2004;R_2004;R_2005;R_2006;R_2007;R_2008;R_2009;R_2010;R_2011;R_2012;R_2013;R_2014;R_2015;R_2016;R_2017;R_2018;R_2019;R_2020;R_2021;;;;
ITH2;Provincia Autonoma di Trento;1;0;31300;31600;32800;34500;35100;33800;34400;35100;35100;35400;34900;34900;36100;36900;38300;39600;37500;40800;;;;
ITH3;Veneto;1;0;27000;27500;28500;29800;29900;28300;28800;29800;29400;29000;29200;30000;31600;32600;33200;34200;31600;34500;;;;
ITH4;Friuli-Venezia Giulia;1;0;25200;26100;27500;28900;28900;26900;27900;28600;27900;27900;27800;28800;29800;30700;31600;32700;30800;33400;;;;
ITH5;Emilia-Romagna;1;0;28700;29200;30800;32400;32900;30500;31000;32300;31800;31700;31900;32600;34200;35300;36000;36600;34500;37700;;;;
ITI1;Toscana;1;0;25400;25700;27000;28200;28700;27600;27700;28500;28400;27900;28200;28600;29900;30700;31500;33100;29500;31900;;;;
ITI2;Umbria;1;0;23300;23600;24800;25800;26200;24200;24500;24800;24200;23500;22900;23800;24400;25200;26100;26600;24700;27100;;;;
ITI3;Marche;1;0;23100;23600;25000;26100;26100;24900;24900;25400;25000;24400;24800;25200;26200;27000;27600;28400;26600;29200;;;;
ITI4;Lazio;1;0;31100;31700;32800;34200;34400;33100;33200;33700;32700;31600;31300;31400;33200;33800;34400;35200;32700;35300;;;;
ITF1;Abruzzo;1;0;19700;20600;21600;22600;23300;22100;22700;23800;23900;23300;23100;23400;24100;24900;25200;25700;24000;26300;;;;
ITF2;Molise;1;0;18600;19000;20500;21600;21500;20800;20800;20900;20400;19000;18700;19200;19800;20500;21000;21900;20800;22500;;;;
ITF3;Campania;1;0;16100;16500;17200;18000;18300;17500;17300;17400;17400;17000;16900;17400;18100;18600;18900;19500;18300;20100;;;;
ITF4;Puglia;1;0;15500;15800;16600;17100;17200;16500;16800;17200;17400;16900;16900;17400;18100;18600;19100;19600;18600;20300;;;;
ITF5;Basilicata;1;0;17400;17700;18900;20000;20300;19000;18800;19600;19600;20000;19200;21100;21500;21900;23200;23300;21400;24500;;;;
ITF6;Calabria;1;0;14700;15100;15900;16400;17000;16400;16400;16600;16400;16000;15800;16100;16700;17200;17300;17700;16700;18100;;;;
ITG1;Sicilia;1;0;15500;16100;16900;17400;17800;17100;17100;17100;17200;16800;16300;16700;17200;17800;17900;18400;17500;18800;;;;
ITG2;Sardegna;1;0;17400;17700;18600;19300;20100;19300;19400;19800;19900;19200;19100;20000;20200;20800;21200;22000;20600;22600;;;;
CY00;Kypros;0;1;21200;22700;23900;26000;27000;25600;25400;24900;23600;22000;21600;22900;24900;26400;27600;29100;27100;29400;;;;
LV00;Latvija;0;1;10000;11400;12600;14400;15200;12800;13400;14300;15700;16300;17000;17900;18500;19700;20900;21700;21600;23300;;;;
LT01;Sostines regionas;0;1;15500;17400;19800;23200;24000;20200;22200;24300;26100;28000;29400;30200;31100;33100;35700;38400;38000;43100;;;;
LT02;Vidurio ir vakaru Lietuvos regionas;0;1;9000;10000;10800;12300;13300;11400;12700;14400;15300;16000;16700;17100;17700;19200;20200;21400;21400;23200;;;;
LU00;Luxembourg;1;0;52800;56300;62700;67100;70500;65500;68300;70200;71300;72600;75200;77600;78500;78900;78900;78700;78500;87100;;;;
HU11;Budapest;0;1;27400;29600;31500;32400;35200;35400;36000;37200;37400;37400;38300;38500;39000;41200;43800;47700;46500;50600;;;;
HU12;Pest;0;1;11800;12600;12800;14200;14100;13500;14400;14500;14300;15000;15400;16100;15800;16000;17100;18100;17900;19800;;;;
HU21;Közép-Dunántúl;0;1;12600;13100;13300;13900;14600;13200;14200;15100;15000;15900;16600;18100;18500;18900;20100;21100;20200;22700;;;;
HU22;Nyugat-Dunántúl;0;1;13900;14000;15100;15200;16000;15000;16800;17500;17500;18100;19500;20900;21100;21300;22100;22200;21100;22100;;;;
HU23;Dél-Dunántúl;0;1;9300;9500;9700;10100;10900;10700;11100;11500;11700;12200;12200;12800;13000;13700;15000;15500;15200;16600;;;;
